,group1,group2,weight,group1_name,group2_name,num_members1,num_members2,category_name1,category_name2
0,19292162,535553,2,Nashville CocoaHeads,Nash.rb,237,881,Tech,Tech
1,19292162,19194894,1,Nashville CocoaHeads,Nashville Christian Technologists and Entrepreneurs,237,613,Tech,Tech
2,19292162,19728145,1,Nashville CocoaHeads,Stepping Out Social Dance Meetup,237,1778,Tech,Dancing
3,19292162,18850080,2,Nashville CocoaHeads,NashReact,237,438,Tech,Tech
4,19292162,1728035,1,Nashville CocoaHeads,WordPress Nashville,237,1643,Tech,Tech
5,19292162,22817838,2,Nashville CocoaHeads,freeCodeCamp Nashville,237,434,Tech,Tech
6,19292162,19997487,2,Nashville CocoaHeads,Developer Launchpad Nashville,237,576,Tech,Tech
7,19292162,18855476,2,Nashville CocoaHeads,Savvy Coders - Nashville,237,243,Tech,Tech
8,19292162,18955830,1,Nashville CocoaHeads,Eat Love Nash,237,5008,Tech,Socializing
9,19292162,11294262,1,Nashville CocoaHeads,Let's Talk Franklin Toastmasters Club,237,608,Tech,Career & Business
10,19292162,1360698,2,Nashville CocoaHeads,Nashville PHP User Group,237,1118,Tech,Tech
11,19292162,1179719,1,Nashville CocoaHeads,Nashvegans!,237,965,Tech,Movements & Politics
12,19292162,1457232,1,Nashville CocoaHeads,Volunteer Nashville,237,2921,Tech,Community & Environment
13,19292162,13560402,1,Nashville CocoaHeads,Nashville Modern Excel & Power BI User Group,237,540,Tech,Tech
14,19292162,7151442,1,Nashville CocoaHeads,Nashville Mobile .NET Developers,237,372,Tech,Tech
15,19292162,18506072,1,Nashville CocoaHeads,20s in Nashville,237,3811,Tech,Socializing
16,19292162,16477792,2,Nashville CocoaHeads,Nashville .NET User Group,237,1371,Tech,Tech
17,19292162,20947040,1,Nashville CocoaHeads,Nashville Blockchain Meetup,237,517,Tech,Tech
18,19292162,5618532,1,Nashville CocoaHeads,Nashville Salesforce Admins & Developers Group,237,501,Tech,Tech
19,19292162,11625832,5,Nashville CocoaHeads,PyNash,237,1442,Tech,Tech
20,19292162,18837102,1,Nashville CocoaHeads,Nashville Software Automation Professionals,237,166,Tech,Tech
21,19292162,7130232,1,Nashville CocoaHeads,Nashville Software Beginners,237,1308,Tech,Tech
22,19292162,3173762,1,Nashville CocoaHeads,Nashville Java Users' Group,237,1041,Tech,Tech
23,19292162,16487812,5,Nashville CocoaHeads,Code for Nashville,237,1763,Tech,Tech
24,19292162,7836842,6,Nashville CocoaHeads,Nashville UX,237,1318,Tech,Tech
25,19292162,17467312,3,Nashville CocoaHeads,NashMicro - The Nashville Microcontroller Makers Group,237,646,Tech,Tech
26,19292162,16447162,1,Nashville CocoaHeads,Nash |> Elixir,237,391,Tech,Tech
27,19292162,9376702,3,Nashville CocoaHeads,Nashville Women Programmers,237,1091,Tech,Tech
28,19292162,6707902,2,Nashville CocoaHeads,Data Science Nashville,237,1046,Tech,Tech
29,19292162,10178242,12,Nashville CocoaHeads,Nashville Mobile Developers,237,1166,Tech,Tech
30,19292162,14546632,1,Nashville CocoaHeads,Nashville Machine Learning Meetup,237,451,Tech,Tech
31,19292162,14649032,1,Nashville CocoaHeads,Nashville Game Developers,237,516,Tech,Tech
32,19292162,4705492,1,Nashville CocoaHeads,"WOMEN ""Word of Mouth Entrepreneurial Networkers""",237,2307,Tech,Career & Business
33,19292162,18616278,1,Nashville CocoaHeads,Franklin Developer Lunch & Learn,237,629,Tech,Tech
34,19292162,526316,2,Nashville CocoaHeads,¡Diablos Que Bailan! (Salsa Nashville),237,3472,Tech,Dancing
35,19292162,10016242,5,Nashville CocoaHeads,NashJS,237,1975,Tech,Tech
